Run	Value_Current_Best	Current_Best 2	Value_Solution_At_Iteration	Solution_At_Iteration
3	17.60146252986521	11.994944936356001 -8.99621005781939 	12.632268991533051	4.986180626440542 -4.986181241701979 
3	12.632268991533051	4.986180626440542 -4.986181241701979 	12.632268991516236	4.986180550747347 -4.986180462736557 
3	12.632268991516236	4.986180550747347 -4.986180462736557 	6.5596453912413315	1.97442796515414 1.9744463652978472 
3	6.5596453912413315	1.97442796515414 1.9744463652978472 	8.952810981455173e-08	-1.7834615983075763e-08 -2.6150261934053783e-08 
3	8.952810981455173e-08	-1.7834615983075763e-08 -2.6150261934053783e-08 	5.437374550609775e-08	-3.2442638596948857e-10 1.9221280770032776e-08 
3	5.437374550609775e-08	-3.2442638596948857e-10 1.9221280770032776e-08 	3.3394069731684795e-08	1.0082300140416113e-09 1.1763457336145416e-08 
3	3.3394069731684795e-08	1.0082300140416113e-09 1.1763457336145416e-08 	3.2214398260066446e-08	9.484930328912994e-09 6.305314484557943e-09 
4	19.959541768858553	29.999927821884587 -31.999917848028588 	19.959411080237032	30.99992434814728 -30.999924365947294 
4	19.959411080237032	30.99992434814728 -30.999924365947294 	19.95941108023703	30.999924351034746 -30.99992435878563 
4	19.95941108023703	30.999924351034746 -30.99992435878563 	19.955179021998685	30.999915187801697 -29.999917898400668 
4	19.955179021998685	30.999915187801697 -29.999917898400668 	19.950424498419657	29.999907616472406 -29.99990760915697 
4	19.950424498419657	29.999907616472406 -29.99990760915697 	19.933138528589517	27.999877584888562 -28.999873264427123 
4	19.933138528589517	27.999877584888562 -28.999873264427123 	19.93313852858947	27.99987759123517 -28.99987322714324 
4	19.93313852858947	27.99987759123517 -28.99987322714324 	19.91833759492408	26.999848335310684 -27.999837903905178 
4	19.91833759492408	26.999848335310684 -27.999837903905178 	19.90966686035459	26.999831642520032 -26.999831651814127 
4	19.90966686035459	26.999831642520032 -26.999831651814127 	19.889666442828123	25.999795144601006 -25.99979415240539 
4	19.889666442828123	25.999795144601006 -25.99979415240539 	19.599769471419524	17.99931452670525 -20.99919506611782 
4	19.599769471419524	17.99931452670525 -20.99919506611782 	19.599769470971214	17.99931354002889 -20.999199042071783 
4	19.599769470971214	17.99931354002889 -20.999199042071783 	19.588311615598805	14.99940719816361 -22.999091084071523 
4	19.588311615598805	14.99940719816361 -22.999091084071523 	19.55606252058178	13.999391573676638 -22.999000335121476 
4	19.55606252058178	13.999391573676638 -22.999000335121476 	19.550184185992453	11.99946949970948 -23.998940378102013 
4	19.550184185992453	11.99946949970948 -23.998940378102013 	19.523118469942286	12.999381461058192 -22.998905669899933 
4	19.523118469942286	12.999381461058192 -22.998905669899933 	15.133245071883172	-9.987127502783798 2.3706794705938293e-06 
4	15.133245071883172	-9.987127502783798 2.3706794705938293e-06 	13.54039009815983	-7.982871709265957 9.250360118213266e-07 
4	13.54039009815983	-7.982871709265957 9.250360118213266e-07 	10.257974372149715	-4.9744977061508235 -0.9949202700961307 
4	10.257974372149715	-4.9744977061508235 -0.9949202700961307 	10.257974372149462	-4.9744976838434605 -0.9949203609320003 
4	10.257974372149462	-4.9744976838434605 -0.9949203609320003 	3.5744518772577516	0.9684776142499159 -0.9684776286384004 
4	3.5744518772577516	0.9684776142499159 -0.9684776286384004 	2.5799275570589733	0.9521670781997462 9.015356850303892e-07 
4	2.5799275570589733	0.9521670781997462 9.015356850303892e-07 	2.579927557032821	0.9521662628638253 -1.9491010868346952e-07 
4	2.579927557032821	0.9521662628638253 -1.9491010868346952e-07 	8.014437158365695e-08	-2.6885039974294004e-08 -8.948979177044371e-09 
4	8.014437158365695e-08	-2.6885039974294004e-08 -8.948979177044371e-09 	5.249593337808278e-08	1.81441902105965e-08 -3.907185159435979e-09 
4	5.249593337808278e-08	1.81441902105965e-08 -3.907185159435979e-09 	3.6232119970946997e-08	4.60000685185187e-09 1.1955573349160627e-08 
4	3.6232119970946997e-08	4.60000685185187e-09 1.1955573349160627e-08 	3.3524862885769835e-08	5.39381942778868e-09 1.0554442039110001e-08 
4	3.3524862885769835e-08	5.39381942778868e-09 1.0554442039110001e-08 	3.31141691845005e-08	9.972733868254617e-09 6.132950700839888e-09 
5	19.672139668279765	21.999345725839508 18.99943483999274 	19.672139668275783	21.999345955801758 18.99943513897498 
5	19.672139668275783	21.999345955801758 18.99943513897498 	19.635488314349466	20.99928767430011 18.999356021350582 
5	19.635488314349466	20.99928767430011 18.999356021350582 	19.635488314337866	20.9992875113669 18.99935538014305 
5	19.635488314337866	20.9992875113669 18.99935538014305 	19.63366221064814	19.999318331855548 19.99931787271318 
5	19.63366221064814	19.999318331855548 19.99931787271318 	19.595649905196893	18.999265825172195 19.9992273677285 
5	19.595649905196893	18.999265825172195 19.9992273677285 	19.511452665192518	16.999157414419415 19.99901584919084 
5	19.511452665192518	16.999157414419415 19.99901584919084 	19.41707280846731	14.999072911225312 19.99877376338507 
5	19.41707280846731	14.999072911225312 19.99877376338507 	10.120350743633061	-3.9789248708640343 2.9842137605486028 
5	10.120350743633061	-3.9789248708640343 2.9842137605486028 	7.309904859198468e-08	-1.965824837614828e-08 -1.6777567908227263e-08 
5	7.309904859198468e-08	-1.965824837614828e-08 -1.6777567908227263e-08 	4.32943378925188e-08	4.155543996415669e-09 1.473198384933127e-08 
5	4.32943378925188e-08	4.155543996415669e-09 1.473198384933127e-08 	4.311323786865273e-08	1.2397677999791892e-08 -8.868000919471692e-09 
6	16.43868819093066	6.994604559894677 -9.992296684028977 	14.564743788281948	6.9890812104979645 5.990641630314248 
6	14.564743788281948	6.9890812104979645 5.990641630314248 	8.03003676885794e-08	-2.062972216807335e-09 -2.8315407272968232e-08 
6	8.03003676885794e-08	-2.062972216807335e-09 -2.8315407272968232e-08 	7.396743173515574e-08	2.4515837228018547e-08 -9.10335088156765e-09 
6	7.396743173515574e-08	2.4515837228018547e-08 -9.10335088156765e-09 	7.067718410525003e-08	-1.2315419704671153e-08 -2.1742543305269187e-08 
6	7.067718410525003e-08	-1.2315419704671153e-08 -2.1742543305269187e-08 	4.4922788600132435e-08	1.5760496958646736e-08 -1.9656539808554455e-09 
6	4.4922788600132435e-08	1.5760496958646736e-08 -1.9656539808554455e-09 	3.3777592278738666e-08	3.6736579995158947e-09 1.1363095196628628e-08 
6	3.3777592278738666e-08	3.6736579995158947e-09 1.1363095196628628e-08 	3.294092110195379e-08	1.1645578032507376e-08 1.3613617168715853e-10 
7	19.89641133517751	18.999860591583026 31.999763435861784 	19.847518719941487	16.99980186780288 29.999650402161766 
7	19.847518719941487	16.99980186780288 29.999650402161766 	18.4371456483871	9.997713888249818 14.99656975411558 
7	18.4371456483871	9.997713888249818 14.99656975411558 	16.009065411872278	10.989825871820235 2.9972271287096865 
7	16.009065411872278	10.989825871820235 2.9972271287096865 	11.525286154880721	5.977748506607882 0.9963062810948495 
7	11.525286154880721	5.977748506607882 0.9963062810948495 	5.381864187491068	-1.9646166163577181 0.9824158576476132 
7	5.381864187491068	-1.9646166163577181 0.9824158576476132 	4.884065258101428	1.9589190714015878 3.1567326457408855e-08 
7	4.884065258101428	1.9589190714015878 3.1567326457408855e-08 	4.884065258091185	-2.5934087035146385e-08 -1.9589197423350013 
7	4.884065258091185	-2.5934087035146385e-08 -1.9589197423350013 	7.060062268138267e-08	-2.179590868423253e-08 1.2165280997294706e-08 
7	7.060062268138267e-08	-2.179590868423253e-08 1.2165280997294706e-08 	5.7917319828959535e-08	3.0716012601783106e-09 2.0245174802262656e-08 
7	5.7917319828959535e-08	3.0716012601783106e-09 2.0245174802262656e-08 	5.000032521351727e-08	7.733362504928357e-09 -1.589651066668862e-08 
7	5.000032521351727e-08	7.733362504928357e-09 -1.589651066668862e-08 	3.915650514940694e-08	1.097235528169388e-09 1.380036253975323e-08 
7	3.915650514940694e-08	1.097235528169388e-09 1.380036253975323e-08 	3.5995651348486035e-08	1.254237709395565e-08 2.1562942347265384e-09 
7	3.5995651348486035e-08	1.254237709395565e-08 2.1562942347265384e-09 	3.532144221551903e-08	-2.225921145327601e-09 1.2288033889416325e-08 
7	3.532144221551903e-08	-2.225921145327601e-09 1.2288033889416325e-08 	3.496690625937049e-08	9.195176620413516e-09 8.263428853558569e-09 
7	3.496690625937049e-08	9.195176620413516e-09 8.263428853558569e-09 	3.0042694554310856e-08	5.2326944778343735e-09 9.243338950076557e-09 
8	4.884065258091917	-1.9589198892000048 4.1320454572208443e-08 	2.5799275570302336	1.0318886121452437e-07 0.9521664915438584 
8	2.5799275570302336	1.0318886121452437e-07 0.9521664915438584 	2.5799275570299804	-0.9521665068175176 5.11074196280849e-08 
8	2.5799275570299804	-0.9521665068175176 5.11074196280849e-08 	1.1317274584143888e-07	-2.982833883499191e-08 2.666979123100392e-08 
8	1.1317274584143888e-07	-2.982833883499191e-08 2.666979123100392e-08 	5.4936268423233514e-08	-6.534958256559747e-09 1.8290527258137797e-08 
8	5.4936268423233514e-08	-6.534958256559747e-09 1.8290527258137797e-08 	3.572622064851316e-08	9.359585402696234e-09 8.481950463744982e-09 
8	3.572622064851316e-08	9.359585402696234e-09 8.481950463744982e-09 	3.36594396799228e-08	1.1826118722337668e-08 1.327642310362949e-09 
8	3.36594396799228e-08	1.1826118722337668e-08 1.327642310362949e-09 	2.4906649187528274e-08	8.084770770911625e-09 3.4898598100360485e-09 
9	19.796755869571523	26.999552893722175 17.999702660331426 	19.78951639542126	25.999555837560855 18.99966815897409 
9	19.78951639542126	25.999555837560855 18.99966815897409 	18.307460606689986	6.9982123805880905 15.995911690171116 
9	18.307460606689986	6.9982123805880905 15.995911690171116 	18.30746060660241	6.998210819856015 15.995910556065569 
9	18.30746060660241	6.998210819856015 15.995910556065569 	17.954253338088016	7.997316620909548 13.995318817977324 
9	17.954253338088016	7.997316620909548 13.995318817977324 	10.12035074363299	3.9789246447359563 2.9842137056693243 
9	10.12035074363299	3.9789246447359563 2.9842137056693243 	2.579927557035208	0.9521660897121348 1.1967449382836604e-07 
9	2.579927557035208	0.9521660897121348 1.1967449382836604e-07 	6.224802584497979e-08	1.710191213411215e-08 -1.3851948399689252e-08 
9	6.224802584497979e-08	1.710191213411215e-08 -1.3851948399689252e-08 	5.213051146313319e-08	1.773235554869134e-08 5.026152851711709e-09 
9	5.213051146313319e-08	1.773235554869134e-08 5.026152851711709e-09 	4.4087108630463945e-08	1.3149421172985728e-08 -8.369694514558046e-09 
9	4.4087108630463945e-08	1.3149421172985728e-08 -8.369694514558046e-09 	3.482647459307486e-08	2.8072451580193617e-09 1.1988734217089206e-08 
9	3.482647459307486e-08	2.8072451580193617e-09 1.1988734217089206e-08 	3.4735834208987626e-08	1.2265846740962619e-08 -6.092932045787324e-10 
9	3.4735834208987626e-08	1.2265846740962619e-08 -6.092932045787324e-10 	3.422840721967191e-08	4.237957391678822e-09 1.1335240262078018e-08 
10	5.381864189026928	0.9824157955714152 1.9646088373168111 	3.574451877257682	0.9684776564195414 0.9684776512723201 
10	3.574451877257682	0.9684776564195414 0.9684776512723201 	2.57992755704776	0.9521667751500109 -7.774725807638372e-07 
10	2.57992755704776	0.9521667751500109 -7.774725807638372e-07 	1.078122902065104e-07	-3.6916527463597064e-08 -9.49237664903393e-09 
10	1.078122902065104e-07	-3.6916527463597064e-08 -9.49237664903393e-09 	7.592912032450272e-08	-1.3979670866901287e-08 -2.291772987281687e-08 
10	7.592912032450272e-08	-1.3979670866901287e-08 -2.291772987281687e-08 	4.373676443236718e-08	1.3698959935654374e-08 -7.172969689116559e-09 
10	4.373676443236718e-08	1.3698959935654374e-08 -7.172969689116559e-09 	4.2935225597062754e-08	1.4979903941639365e-08 2.4559331220433864e-09 
10	4.2935225597062754e-08	1.4979903941639365e-08 2.4559331220433864e-09 	4.279014342856158e-08	1.446010119861994e-08 -4.447466786000124e-09 
10	4.279014342856158e-08	1.446010119861994e-08 -4.447466786000124e-09 	2.9518758104529752e-08	5.933790568910875e-09 8.58543816679143e-09 
